icd9	description
94899	burn any degree involving 90 percent or more of body surface with third degree burn 90 or more of body surface
9490	burn of unspecified site unspecified degree
9491	erythema first degree unspecified site
9492	blisters epidermal loss second degree unspecified site
9493	full thickness skin loss third degree nos
9494	deep necrosis of underlying tissue deep third degree without mention of loss of a body part unspecified
9495	deep necrosis of underlying tissues deep third degree with loss of a body part unspecified
9500	optic nerve injury
9501	injury to optic chiasm
9502	injury to optic pathways
9503	injury to visual cortex
9509	injury to unspecified optic nerve and pathways
9510	injury to oculomotor nerve
9511	injury to trochlear nerve
9512	injury to trigeminal nerve
9513	injury to abducens nerve
9514	injury to facial nerve
9515	injury to acoustic nerve
9516	injury to accessory nerve
9517	injury to hypoglossal nerve
9518	injury to other specified cranial nerves
9519	injury to unspecified cranial nerve
95200	c1 c4 level with unspecified spinal cord injury
95201	c1 c4 level with complete lesion of spinal cord
95202	c1 c4 level with anterior cord syndrome
95203	c1 c4 level with central cord syndrome
95204	c1 c4 level with other specified spinal cord injury
95205	c5 c7 level with unspecified spinal cord injury
95206	c5 c7 level with complete lesion of spinal cord
95207	c5 c7 level with anterior cord syndrome
95208	c5 c7 level with central cord syndrome
95209	c5 c7 level with other specified spinal cord injury
95210	t1 t6 level with unspecified spinal cord injury
95211	t1 t6 level with complete lesion of spinal cord
95212	t1 t6 level with anterior cord syndrome
95213	t1 t6 level with central cord syndrome
95214	t1 t6 level with other specified spinal cord injury
95215	t7 t12 level with unspecified spinal cord injury
95216	t7 t12 level with complete lesion of spinal cord
95217	t7 t12 level with anterior cord syndrome
95218	t7 t12 level with central cord syndrome
95219	t7 t12 level with other specified spinal cord injury
9522	lumbar spinal cord injury without evidence of spinal bone injury
9523	sacral spinal cord injury without evidence of spinal bone injury
9524	cauda equina spinal cord injury without evidence of spinal bone injury
9528	multiple sites of spinal cord injury without evidence of spinal bone injury
9529	unspecified site of spinal cord injury without evidence of spinal bone injury
9530	injury to cervical nerve root
9531	injury to dorsal nerve root
9532	injury to lumbar nerve root
9533	injury to sacral nerve root
9534	injury to brachial plexus
9535	injury to lumbosacral plexus
9538	injury to multiple sites of nerve roots and spinal plexus
9539	injury to unspecified site of nerve roots and spinal plexus
9540	injury to cervical sympathetic nerve excluding shoulder and pelvic girdles
9541	injury to other sympathetic nerve excluding shoulder and pelvic girdles
9548	injury to other specified nerve s of trunk excluding shoulder and pelvic girdles
9549	injury to unspecified nerve of trunk excluding shoulder and pelvic girdles
9550	injury to axillary nerve
9551	injury to median nerve
9552	injury to ulnar nerve
9553	injury to radial nerve
9554	injury to musculocutaneous nerve
9555	injury to cutaneous sensory nerve upper limb
9556	injury to digital nerve upper limb
9557	injury to other specified nerve s of shoulder girdle and upper limb
9558	injury to multiple nerves of shoulder girdle and upper limb
9559	injury to unspecified nerve of shoulder girdle and upper limb
9560	injury to sciatic nerve
9561	injury to femoral nerve
9562	injury to posterior tibial nerve
9563	injury to peroneal nerve
9564	injury to cutaneous sensory nerve lower limb
9565	injury to other specified nerve s of pelvic girdle and lower limb
9568	injury to multiple nerves of pelvic girdle and lower limb
9569	injury to unspecified nerve of pelvic girdle and lower limb
9570	injury to superficial nerves of head and neck
9571	injury to other specified nerve s
9578	injury to multiple nerves in several parts
9579	injury to nerves unspecified site
9580	air embolism
9581	fat embolism
9582	secondary and recurrent hemorrhage
9583	posttraumatic wound infection not elsewhere classified
9584	traumatic shock
9585	traumatic anuria
9586	volkmanns ischemic contracture
9587	traumatic subcutaneous emphysema
